id N vR1 vR2 vR3 vR4 vR5 vR6 vR7 vR8 vR9 vR10 vR11 vR12 vR13 vR14 vR15
 1.700000e+01  2.010000e+02  5.699648e-01  4.332438e-01  1.700257e-03  5.794425e-02 -1.323341e-02  3.603928e-01 -6.320347e-02 -7.514570e-02 -2.618759e-02 -4.985524e-03  2.802434e-02  2.755035e-02  4.148896e-01  1.706830e-01  1.749753e-01
 1.800000e+01  1.870000e+02  6.257440e-01  5.584098e-01  1.854532e-02  8.347160e-02  1.097290e-02  3.777353e-01 -2.549221e-03 -1.699797e-02 -1.141492e-02  1.392892e-01 -3.190688e-02  1.529127e-02  3.117966e-01  1.508775e-01  1.958836e-01
 1.900000e+01  2.230000e+02  5.548453e-01  4.660109e-01  2.540789e-01  2.960781e-01  1.287956e-01  4.389222e-01  2.165919e-01  2.043700e-01  1.086939e-01  2.337969e-01  1.813350e-01  1.500515e-01  5.385712e-01  2.904933e-01  2.948576e-01
 2.000000e+01  1.680000e+02  4.229465e-01  1.327775e-01  1.644792e-01  1.591510e-01 -2.380717e-02  1.498507e-01  6.557264e-02  2.040828e-01 -2.024564e-02  1.398548e-01  9.310892e-02  4.715837e-02  5.238102e-01  2.528941e-01  2.264070e-01
 2.100000e+01  2.310000e+02  4.245846e-01  3.713362e-01  3.307823e-04            NA  2.405494e-02  1.742619e-01  1.861736e-02            NA -2.000982e-02  4.554463e-02            NA  1.339725e-01            NA  6.364821e-01            NA
 2.200000e+01  1.700000e+02  6.554490e-01  2.457374e-01  6.979653e-03  6.250415e-02  8.812042e-02  3.103651e-01  8.226188e-02  1.435111e-01  6.774426e-02  2.759799e-02  5.365389e-02 -6.282646e-02  4.237122e-01  1.616862e-01  3.365306e-01
 2.300000e+01  2.030000e+02  4.775199e-01  3.836399e-02  6.632715e-02 -8.261398e-03  1.008221e-01  1.287636e-01  7.431279e-02  2.911175e-02  8.555482e-02 -5.649878e-02 -4.095665e-02  1.300719e-02  5.130160e-01  3.143674e-01  3.075782e-01
 2.400000e+01  1.690000e+02            NA            NA            NA            NA            NA  4.217575e-03  6.721771e-03  1.342657e-02 -1.266950e-02 -3.939385e-02 -3.180332e-02 -9.758612e-03  3.369619e-01  2.225957e-01  4.730499e-01
 2.500000e+01  1.620000e+02  4.476812e-01  4.305189e-01  2.282597e-01  2.668696e-01  2.536302e-01  3.797259e-01  3.510912e-01  3.313022e-01  3.018482e-01  2.092097e-01  3.034788e-01  2.780199e-01  5.807727e-01  4.739650e-01  5.046842e-01
 2.600000e+01  1.940000e+02  3.403921e-01  6.171437e-01  1.784625e-01  1.439974e-01 -2.421057e-02  3.768049e-01  9.508965e-02  1.382392e-01 -6.513698e-02  2.028575e-01  1.710272e-01  2.197295e-03  4.787071e-01  6.924303e-02  2.290244e-02
 2.700000e+01  1.660000e+02  6.540208e-01  2.067043e-01  3.884177e-01  3.858360e-01  4.755972e-01  1.807875e-01  4.677439e-01  4.803917e-01  5.075094e-01  1.991975e-01  1.325328e-01  1.431943e-01  5.624428e-01  5.205642e-01  4.531920e-01
 2.800000e+01  1.600000e+02  4.887110e-01  6.876205e-02  1.590006e-01  1.232813e-01  7.939632e-02  6.945459e-02  2.390408e-01  2.361324e-01  1.437069e-01  1.577078e-01  1.173723e-01  2.942851e-02  5.386050e-01  4.560917e-01  6.421983e-01
 2.900000e+01  1.960000e+02  3.288913e-01  3.256167e-01  1.761369e-01  2.227919e-01  1.435918e-01  1.604576e-01  7.250443e-02  1.082404e-01  2.942599e-02  1.139338e-01  1.481018e-02  4.375777e-02  4.128777e-01  2.788424e-01  4.298928e-01
 3.000000e+01  1.680000e+02  4.883738e-01  2.567823e-01  2.251203e-01  2.512984e-01  1.711235e-01  3.414066e-01  2.552072e-01  2.086644e-01  1.987382e-01  1.308972e-01  4.166843e-02  1.509733e-01  5.385083e-01  4.959049e-01  2.970772e-01
 3.100000e+01  1.810000e+02  3.591804e-01  4.054454e-01  1.087293e-03  1.264338e-01  6.490794e-04  3.117596e-01  1.714803e-01  2.878823e-01  7.835306e-02  1.716029e-01  2.357219e-01  1.418083e-01  7.306156e-01  5.988259e-01  6.959750e-01
 3.200000e+01  1.740000e+02            NA            NA            NA            NA            NA            NA            NA  6.971653e-02            NA            NA            NA            NA            NA            NA            NA
 3.300000e+01  1.940000e+02  3.685524e-01  4.608934e-01  1.362914e-01  1.034645e-01  1.860836e-01  4.386995e-01  1.963471e-01  1.747811e-01  2.751945e-01  2.046401e-01  1.175821e-01  2.240554e-01  4.137236e-01  6.600851e-01  6.834256e-01
 3.400000e+01  2.850000e+02  4.553622e-01  6.245612e-01  9.333862e-02  1.158490e-02  1.002754e-01  4.449720e-01  4.962114e-02 -4.775110e-03  2.380170e-02  1.137055e-01 -5.198730e-04  7.980598e-02  3.058310e-01  1.921569e-01  2.330577e-01
 3.500000e+01  1.870000e+02  3.305920e-01  2.322466e-01  1.859002e-01  1.089456e-01  4.682848e-03  1.092180e-01  1.159209e-01  3.041761e-02  7.853603e-02 -5.241792e-02  1.588569e-02  4.611551e-02  5.167815e-01  3.428501e-01  5.379955e-01
 3.600000e+01  1.970000e+02  3.191139e-01  2.784843e-01 -1.006982e-01 -2.147280e-03 -1.388240e-01  1.959326e-01 -4.955493e-02  2.184354e-02 -7.246719e-02  1.555979e-01 -2.036562e-02  1.711993e-01  5.005570e-01  5.898273e-01  3.706581e-01
 3.700000e+01  1.910000e+02  5.617539e-01  6.702571e-01  4.583288e-01  4.292015e-01  3.783228e-01  5.924335e-01  4.969969e-01  3.299621e-01  3.839125e-01  4.626166e-01  4.051711e-01  3.963110e-01  6.387495e-01  4.803123e-01  5.063922e-01
 3.800000e+01  2.740000e+02            NA  3.959273e-01            NA  2.878043e-01  1.868817e-01            NA            NA            NA            NA            NA  2.549660e-01  1.499478e-01            NA            NA  2.661341e-01
 3.900000e+01  3.160000e+02            NA            NA            NA            NA            NA  4.144541e-01  1.594422e-01            NA  7.602350e-02  1.377866e-01            NA  2.778309e-02            NA -4.968249e-03            NA
 4.000000e+01  2.830000e+02  2.720419e-01  4.202801e-01            NA  4.023256e-01            NA  2.453969e-01            NA  1.733907e-01            NA            NA  2.276855e-01            NA            NA            NA            NA
 4.100000e+01  3.890000e+02  4.545327e-01  4.062119e-01  1.717639e-02  5.301015e-02  4.463698e-03  3.074825e-01  7.002302e-02  1.600681e-02  8.244836e-02 -5.061638e-02 -6.946247e-02 -8.729112e-02  4.654774e-01  2.624233e-01  2.308006e-01
 4.200000e+01  1.600000e+02  4.327699e-01  4.073451e-01  8.445052e-02  5.507736e-02  9.296439e-02  4.169813e-01  7.767868e-02  8.071080e-02  1.437458e-01 -8.450869e-03 -2.183841e-03  1.312278e-01  2.898906e-01  1.336616e-01  1.730652e-01
 4.300000e+01  2.030000e+02  2.907295e-01  2.574601e-01  8.107244e-02  1.769401e-01  1.085629e-01  2.673496e-01  1.630844e-01  1.164424e-01  1.304422e-01  3.394235e-02  1.811471e-01 -3.083843e-03  3.582516e-01  3.920682e-01  4.472910e-01
 4.400000e+01  1.730000e+02  5.687882e-01  6.163716e-01  3.763247e-01  1.175825e-01  3.053620e-01  4.857186e-01  3.197421e-01  9.640923e-02  1.724275e-01  3.321912e-01  2.011876e-01  3.041806e-01  4.285341e-01  5.491351e-01  3.106323e-01
 4.500000e+01  1.680000e+02  5.547431e-01  2.943183e-01  1.309077e-01            NA  1.851929e-01  3.883606e-01  1.466031e-01            NA  1.558025e-01  4.615025e-02            NA  5.902903e-02            NA  1.897195e-01            NA
 4.600000e+01  1.870000e+02  4.807580e-01  4.639868e-01  5.258446e-02  1.385126e-02 -1.008103e-01  3.941890e-01  9.910969e-02  5.555513e-02  3.096940e-02  1.038477e-03  2.297614e-02 -8.797675e-02  3.494985e-01  3.180825e-01  2.343688e-01
 4.700000e+01  1.730000e+02  3.875429e-01  3.866142e-01  2.923649e-01  3.393989e-01  9.319640e-02  4.782286e-01  2.848852e-01  2.406313e-01  1.633520e-01  2.171759e-01  7.570042e-02  1.336581e-01  3.615407e-01  2.746442e-01  2.247893e-01
 4.800000e+01  1.940000e+02  5.899169e-01  3.668532e-01  1.429322e-01  1.342180e-01  5.633608e-02  3.646062e-01  2.090130e-01  1.007916e-01 -1.778080e-02  8.438514e-02  7.589046e-02  4.885766e-02  4.333772e-01  3.718568e-01  2.536172e-01
 4.900000e+01  1.880000e+02            NA            NA            NA            NA  1.024964e-01            NA            NA            NA            NA            NA            NA            NA            NA            NA            NA
 5.000000e+01  1.640000e+02  2.049288e-01  5.092337e-01  8.276446e-02  6.125071e-02  1.384958e-01  1.367205e-01 -5.846203e-02 -5.441408e-02  1.090358e-01  1.352414e-01  1.184100e-01  1.716596e-01  7.929683e-01  3.121263e-01  3.656254e-01
