id N vR1 vR2 vR3 vR4 vR5 vR6 vR7 vR8 vR9 vR10 vR11 vR12 vR13 vR14 vR15
 1.900000e+01  2.230000e+02  4.889942e-01  4.162656e-01  1.687550e-01  1.059121e-01  1.680013e-01  4.171294e-01  1.766310e-01  1.952373e-02  1.401800e-01  2.260945e-01  1.130630e-01  1.840976e-01  4.392258e-01  4.473776e-01  2.506663e-01
 2.000000e+01  1.680000e+02  4.040460e-01  8.529438e-02  1.497546e-01  1.744538e-01  5.307703e-02  1.296171e-01  1.753269e-01  5.675814e-02 -3.622618e-02  4.050464e-02  8.768535e-02  4.493799e-02  4.561136e-01  3.310046e-01  3.307153e-01
 2.100000e+01  2.310000e+02  4.297993e-01  2.518554e-01  4.376085e-01            NA  2.542007e-01  1.610167e-01  2.013294e-01            NA  1.412120e-01 -1.099627e-01            NA -5.412088e-03            NA  3.851330e-01            NA
 2.200000e+01  1.700000e+02  6.579974e-01  1.120295e-01  5.204138e-03  7.409123e-03  6.918380e-02  2.447151e-01  4.035808e-02  1.072770e-02  9.223868e-02 -3.032941e-02 -2.045772e-02 -1.844356e-01  2.114825e-01  2.758634e-01  1.371105e-01
 2.300000e+01  2.030000e+02  4.041673e-01  1.118762e-01  1.120389e-01  1.313011e-01  1.123526e-01  1.131113e-01  1.379586e-01  8.626174e-02  9.949183e-02  1.323170e-02  2.691256e-02 -7.891281e-02  2.513380e-01  4.900485e-01  2.713271e-01
 2.400000e+01  1.690000e+02            NA            NA            NA            NA            NA  1.029382e-02  1.116340e-01  1.498761e-01  1.908959e-01  3.016902e-02  1.100629e-02  4.663807e-02  6.592030e-02  4.292240e-01  2.266986e-01
 2.500000e+01  1.620000e+02  5.082678e-01  4.337095e-01  2.523373e-01  6.646478e-02  1.940916e-01  4.421668e-01  3.414778e-01  1.622468e-01  2.897455e-01  2.258160e-01  1.677536e-01  2.706966e-01  3.265784e-01  5.570615e-01  4.366174e-01
 2.600000e+01  1.940000e+02  2.176540e-01  5.904926e-01 -7.073575e-02 -7.385800e-02  2.656337e-02  3.861639e-01 -9.471855e-02 -6.002118e-03 -2.152457e-02 -9.194689e-02 -5.943733e-02 -9.885867e-03  3.808229e-01  2.917365e-01  1.922976e-01
 2.700000e+01  1.660000e+02  6.317773e-01  5.156145e-01  3.931968e-01  2.196367e-01  4.049335e-01  5.361254e-01  4.933564e-01  1.685896e-01  4.636284e-01  3.491909e-01  1.906255e-01  3.144593e-01  3.831186e-01  7.000695e-01  5.191188e-01
 2.800000e+01  1.600000e+02  4.859963e-01  2.637682e-01  1.384713e-01  1.030489e-01  2.078840e-01  2.863618e-01  1.485868e-01  5.378172e-02  2.714451e-01  5.696676e-02  1.906241e-01  1.256410e-01  7.636238e-02  4.601375e-01  1.649557e-01
 2.900000e+01  1.960000e+02  3.783447e-01  3.468070e-01  4.316604e-02 -2.614628e-02  2.404703e-01  2.440956e-01  1.098358e-02  9.346807e-02  2.444530e-01  8.456586e-03  3.348238e-02  2.292719e-01  2.246305e-01  2.943519e-01  3.028492e-01
 3.000000e+01  1.680000e+02  4.487944e-01  4.924467e-01  1.471080e-01  1.532662e-01  1.355483e-01  4.280463e-01  2.340497e-01  5.376871e-02  1.463284e-01  7.856874e-02  1.031232e-01  1.036388e-01  4.290992e-01  5.863651e-01  4.444933e-01
 3.100000e+01  1.810000e+02  3.046510e-01  3.344416e-01  3.410183e-01  1.546324e-01  1.176861e-01  3.706955e-01  2.060848e-01  2.873911e-01  8.539471e-02  3.231545e-01  1.911933e-01  1.186352e-01  1.656372e-01  2.218075e-01  2.392149e-01
 3.200000e+01  1.740000e+02            NA            NA            NA            NA            NA            NA            NA  2.255801e-01            NA            NA            NA            NA            NA            NA            NA
 3.300000e+01  1.940000e+02  3.394851e-01  4.612219e-01  2.095553e-01  2.178310e-01  2.523524e-01  4.614357e-01  2.958563e-01  1.678226e-01  1.854934e-01  3.570809e-01  2.120512e-01  2.382500e-01  2.997310e-01  2.498050e-01  2.385455e-01
 3.400000e+01  2.850000e+02  4.755950e-01  4.937482e-01  5.133339e-02  5.623783e-02  7.931020e-02  3.575334e-01  2.829085e-02  3.661645e-02  3.575146e-02  6.501191e-03  6.394351e-02  6.113780e-02  4.223826e-01  2.193285e-01  1.049515e-01
 3.500000e+01  1.870000e+02  4.002357e-01  1.968579e-01  1.479043e-01  2.175396e-01  1.214938e-01  1.697996e-01  1.944303e-01  2.333824e-01  1.003729e-01  1.048003e-01  5.831203e-03  6.718227e-02  2.358349e-01  3.256736e-01  6.707441e-02
 3.600000e+01  1.970000e+02  3.071852e-01  1.451668e-01  3.002316e-01  2.680625e-02  2.123039e-01 -1.527488e-02  1.685465e-01  1.328585e-01 -4.165766e-02  5.841784e-02 -4.692617e-03 -4.410254e-03  3.750147e-01  1.998372e-01  9.190444e-02
 3.700000e+01  1.910000e+02  5.644935e-01  7.703554e-01  3.004646e-01  1.763261e-02  2.516379e-01  6.138096e-01  2.418991e-01  4.972667e-02  2.423231e-01  3.888074e-01  1.221551e-01  3.253373e-01  2.868237e-01  6.121165e-01  2.071665e-01
 3.800000e+01  2.740000e+02            NA  5.535317e-01            NA  1.256043e-01  1.131564e-01            NA            NA            NA            NA            NA  1.373657e-01  1.139041e-01            NA            NA  5.196798e-01
 3.900000e+01  3.160000e+02            NA            NA            NA            NA            NA  3.104985e-01 -1.187439e-01            NA -1.249032e-01 -1.072347e-01            NA -1.416241e-01            NA  3.278160e-01            NA
 4.000000e+01  2.830000e+02  3.233518e-01  5.282764e-01            NA  7.814973e-02            NA  3.047520e-01            NA  1.199510e-01            NA            NA  1.019061e-01            NA            NA            NA            NA
 4.100000e+01  3.890000e+02  3.745450e-01  5.940442e-01 -7.480960e-02 -1.417236e-02 -9.988284e-02  3.347076e-01  3.418974e-02 -4.631566e-03  4.785670e-02 -1.378689e-01 -8.495065e-02 -9.471620e-02  2.775904e-01  4.478099e-01  3.574395e-01
 4.200000e+01  1.600000e+02  3.245777e-01  6.278808e-02  2.412549e-02 -3.028376e-02  8.237280e-02  1.067676e-03  1.459331e-01  1.315160e-02  1.372715e-01  3.286645e-02  3.083729e-02 -3.362674e-02  4.911365e-01  3.168914e-01  1.718402e-01
 4.300000e+01  2.030000e+02  3.957412e-01  9.437801e-02  1.546097e-01 -4.716191e-02 -1.075855e-02  1.734407e-01  9.471448e-02  2.394043e-02  1.459998e-02  4.296154e-02  4.025287e-03  2.502207e-02  2.949391e-01  1.036367e-01 -3.820620e-02
 4.400000e+01  1.730000e+02  4.812035e-01  3.589156e-01  4.335945e-01  3.964382e-01  2.495141e-01  3.226822e-01  3.316627e-01  1.546648e-01  2.242901e-01  3.003539e-01  2.682903e-01  2.564534e-01  5.187219e-01  4.599292e-01  4.431836e-01
 4.500000e+01  1.680000e+02  3.806656e-01  4.574940e-01  1.480143e-01            NA  1.059226e-01  2.726378e-01  2.875245e-01            NA  1.966992e-01  3.216215e-02            NA  5.209278e-02            NA  2.697970e-01            NA
 4.600000e+01  1.870000e+02  6.705239e-01  3.047319e-01  2.798956e-01  1.783117e-01  5.011779e-02  3.554215e-01  2.888827e-01  1.327178e-01  6.191346e-02  5.805806e-02  7.736906e-02  3.299601e-02  3.471687e-01  3.497381e-01  3.673050e-01
 4.700000e+01  1.730000e+02  3.996008e-01  2.389878e-01  2.048576e-01  1.547232e-01  2.981359e-01  2.370595e-01  4.693963e-02  7.200862e-02  1.905975e-01  1.639801e-01  1.541746e-01 -2.143245e-03  4.673999e-01  2.490040e-01  3.321178e-01
 4.800000e+01  1.940000e+02  3.850214e-01  3.718680e-01 -1.624845e-02  2.274458e-02  8.154823e-02  5.538109e-01  2.376904e-02  6.999750e-02  1.080272e-01 -8.461693e-02  1.004951e-01  4.477267e-02  4.838891e-01  4.306175e-01  4.331292e-01
 4.900000e+01  1.880000e+02            NA            NA            NA            NA  4.683798e-02            NA            NA            NA            NA            NA            NA            NA            NA            NA            NA
 5.000000e+01  1.640000e+02  4.476930e-01  6.029710e-01  2.742234e-01  1.708773e-01  1.212656e-01  3.292957e-01  1.872396e-01  7.973316e-02  1.154380e-01  2.887974e-01  1.573375e-01  1.095578e-01  1.729938e-01  2.351932e-01  2.664144e-01
